   17.7635     72      4
   17.0946     69      4
   16.4744     71      4
   15.8978     71      4
   15.3603     70      4
   14.8581     72      4
   14.3878     72      4
   13.9465     66      4
   13.5316     73      4
   13.1408     69      4
   12.7721     66      4
   12.4236     69      4
   12.0937     69      4
   11.7810     61      3
   11.4842     66      4
   11.2021     68      4
   10.9336     66      4
   10.6777     70      4
   10.4337     69      4
   10.2006     66      4
    9.9779     61      3
    9.7647     64      4
    9.5606     68      4
    9.3649     63      3
    9.1771     64      4
    8.9968     66      4
    8.8235     62      3
    8.6569     64      4
    8.4965     60      3
    8.3420     60      3
    8.1931     62      3
    8.0495     62      3
    7.9110     62      3
    7.7772     63      3
    7.6479     59      3
    7.5229     59      3
    7.4020     61      3
    7.2850     58      3
    7.1717     57      3
    7.0619     60      3
    6.9555     58      3
    6.8523     56      3
    6.7522     58      3
    6.6551     60      3
    6.5608     62      3
    6.4691     61      3
    6.3801     59      3
    6.2935     59      3
    6.2093     56      3
    6.1273     59      3
    6.0476     63      3
    5.9700     59      3
    5.8944     63      3
    5.8207     62      3
    5.7489     61      3
    5.6789     60      3
    5.6106     61      3
    5.5440     62      3
    5.4790     52      3
    5.4156     53      3
    5.3537     63      3
    5.2932     65      4
    5.2341     63      3
    5.1764     64      4
    5.1200     60      3
    5.0648     66      4
    5.0109     67      4
    4.9581     68      4
    4.9065     64      4
    4.8560     64      4
    4.8065     66      4
    4.7581     68      4
    4.7108     70      4
    4.6643     68      4
    4.6189     70      4
    4.5743     65      4
    4.5307     75      4
    4.4879     75      4
    4.4459     77      4
    4.4048     74      4
    4.3644     77      4
    4.3248     80      4
    4.2860     77      4
    4.2479     79      4
    4.2105     79      4
    4.1738     83      4
    4.1378     84      4
    4.1024     85      4
    4.0677     85      4
    4.0335     83      4
    4.0000     84      4
    3.9671     96      4
    3.9347     95      4
    3.9029     89      4
    3.8716     90      4
    3.8409     95      4
    3.8107     93      4
    3.7810     95      4
    3.7517     97      4
    3.7230     97      4
    3.6947     96      4
    3.6669     95      4
    3.6395     94      4
    3.6126     92      4
    3.5861    101      5
    3.5600    104      5
    3.5343     92      4
    3.5090    101      5
    3.4841    101      5
    3.4596    102      5
    3.4354    100      4
    3.4117     99      4
    3.3882    100      5
    3.3651     99      4
    3.3424     86      4
    3.3200     92      4
    3.2979     93      4
    3.2761     92      4
    3.2547     90      4
    3.2335     88      4
    3.2127     82      4
    3.1921     87      4
    3.1719     83      4
    3.1519     81      4
    3.1322     82      4
    3.1127     78      4
    3.0936     74      4
    3.0746     70      4
    3.0560     75      4
    3.0376     72      4
    3.0194     68      4
    3.0015     71      4
    2.9838     72      4
    2.9663     69      4
    2.9491     63      3
    2.9321     62      3
    2.9153     65      4
    2.8987     63      3
    2.8823     58      3
    2.8662     58      3
    2.8502     61      3
    2.8345     59      3
    2.8189     55      3
    2.8035     60      3
    2.7883     57      3
    2.7733     54      3
    2.7585     56      3
    2.7439     58      3
    2.7294     52      3
    2.7151     53      3
    2.7010     55      3
    2.6870     52      3
    2.6733     45      3
    2.6596     53      3
    2.6462     55      3
    2.6328     54      3
    2.6197     50      3
    2.6067     54      3
    2.5938     48      3
    2.5811     48      3
    2.5685     53      3
    2.5561     48      3
    2.5438     47      3
    2.5316     51      3
    2.5196     51      3
    2.5077     49      3
    2.4959     52      3
    2.4843     52      3
    2.4728     46      3
    2.4614     43      3
    2.4502     48      3
    2.4390     45      3
    2.4280     47      3
    2.4171     48      3
    2.4063     47      3
    2.3956     45      3
    2.3851     48      3
    2.3746     48      3
    2.3643     47      3
    2.3540     54      3
    2.3439     50      3
    2.3339     46      3
    2.3239     50      3
    2.3141     50      3
    2.3044     49      3
    2.2947     47      3
    2.2852     51      3
    2.2758     53      3
    2.2664     48      3
    2.2572     43      3
    2.2480     49      3
    2.2389     53      3
    2.2299     53      3
    2.2210     46      3
    2.2122     53      3
    2.2035     49      3
    2.1948     52      3
    2.1863     52      3
    2.1778     52      3
    2.1694     53      3
    2.1611     54      3
    2.1528     53      3
    2.1447     50      3
    2.1366     53      3
    2.1286     50      3
    2.1206     48      3
    2.1127     52      3
    2.1049     52      3
    2.0972     49      3
    2.0896     52      3
    2.0820     43      3
    2.0745     48      3
    2.0670     55      3
    2.0596     48      3
    2.0523     50      3
    2.0451     48      3
    2.0379     44      3
    2.0308     49      3
    2.0237     45      3
    2.0167     45      3
    2.0098     47      3
    2.0029     43      3
    1.9961     41      3
    1.9893     44      3
    1.9826     46      3
