    -1.0 0.000 0.000 0.000 0.000
     1.0 0.027 0.018 0.041 0.003
     3.0 0.061 0.041 0.094 0.008
     5.0 0.094 0.063 0.143 0.014
     7.0 0.127 0.085 0.190 0.022
     9.0 0.158 0.108 0.234 0.032
    11.0 0.191 0.128 0.275 0.044
    13.0 0.221 0.149 0.314 0.056
    15.0 0.251 0.171 0.335 0.087
    17.0 0.281 0.190 0.352 0.119
    19.0 0.311 0.211 0.373 0.149
    21.0 0.339 0.232 0.396 0.175
    23.0 0.368 0.253 0.420 0.201
    25.0 0.396 0.274 0.447 0.223
    27.0 0.423 0.294 0.472 0.245
    29.0 0.451 0.315 0.502 0.264
    31.0 0.475 0.335 0.529 0.282
    33.0 0.499 0.357 0.556 0.300
    35.0 0.523 0.377 0.584 0.316
    37.0 0.544 0.398 0.611 0.331
    39.0 0.566 0.419 0.637 0.348
    41.0 0.586 0.441 0.663 0.364
    43.0 0.606 0.462 0.688 0.380
    45.0 0.624 0.483 0.710 0.397
    47.0 0.641 0.503 0.732 0.412
    49.0 0.657 0.522 0.751 0.428
    51.0 0.672 0.543 0.769 0.446
    53.0 0.685 0.562 0.785 0.462
    55.0 0.700 0.580 0.800 0.480
    57.0 0.713 0.600 0.814 0.499
    59.0 0.725 0.618 0.826 0.517
    61.0 0.737 0.635 0.836 0.535
    63.0 0.749 0.652 0.847 0.555
    65.0 0.762 0.668 0.856 0.574
    67.0 0.774 0.683 0.864 0.592
    69.0 0.785 0.697 0.872 0.610
    71.0 0.797 0.709 0.878 0.628
    73.0 0.808 0.721 0.884 0.645
    75.0 0.818 0.731 0.888 0.661
    77.0 0.828 0.741 0.893 0.676
    79.0 0.838 0.750 0.896 0.691
    81.0 0.847 0.757 0.900 0.704
    83.0 0.854 0.763 0.902 0.716
    85.0 0.860 0.769 0.904 0.725
    87.0 0.866 0.774 0.906 0.734
    89.0 0.870 0.780 0.907 0.742
    91.0 0.873 0.784 0.908 0.749
    93.0 0.876 0.788 0.909 0.755
    95.0 0.879 0.793 0.910 0.762
    97.0 0.881 0.797 0.911 0.767
    99.0 0.883 0.801 0.911 0.773
   101.0 0.884 0.805 0.912 0.777
   103.0 0.885 0.810 0.912 0.782
   105.0 0.886 0.814 0.913 0.788
   107.0 0.887 0.818 0.913 0.792
   109.0 0.888 0.822 0.913 0.797
   111.0 0.889 0.826 0.914 0.801
   113.0 0.890 0.831 0.914 0.806
   115.0 0.890 0.834 0.914 0.811
   117.0 0.891 0.839 0.914 0.816
   119.0 0.892 0.844 0.915 0.821
   121.0 0.892 0.848 0.915 0.826
   123.0 0.893 0.852 0.915 0.830
   125.0 0.893 0.857 0.915 0.835
   127.0 0.894 0.861 0.916 0.839
   129.0 0.895 0.865 0.916 0.844
   131.0 0.895 0.869 0.916 0.848
   133.0 0.895 0.873 0.916 0.852
   135.0 0.895 0.877 0.916 0.855
   137.0 0.896 0.880 0.917 0.859
   139.0 0.896 0.883 0.917 0.862
   141.0 0.896 0.885 0.917 0.865
   143.0 0.897 0.887 0.917 0.866
   145.0 0.897 0.888 0.918 0.867
   147.0 0.898 0.889 0.918 0.869
   149.0 0.898 0.890 0.918 0.870
   151.0 0.898 0.891 0.919 0.871
   153.0 0.899 0.892 0.919 0.872
   155.0 0.900 0.894 0.919 0.874
   157.0 0.900 0.895 0.920 0.875
   159.0 0.900 0.896 0.920 0.877
   161.0 0.901 0.898 0.921 0.879
   163.0 0.902 0.900 0.921 0.880
   165.0 0.903 0.901 0.921 0.882
   167.0 0.903 0.902 0.922 0.883
   169.0 0.904 0.903 0.922 0.885
   171.0 0.905 0.904 0.922 0.886
   173.0 0.905 0.905 0.923 0.887
   175.0 0.906 0.906 0.923 0.888
   177.0 0.906 0.906 0.924 0.889
   179.0 0.907 0.907 0.924 0.890
   181.0 0.907 0.907 0.924 0.890
   183.0 0.908 0.908 0.925 0.891
   185.0 0.908 0.909 0.925 0.892
   187.0 0.909 0.909 0.925 0.893
   189.0 0.909 0.910 0.926 0.893
   191.0 0.910 0.911 0.927 0.894
   193.0 0.910 0.911 0.927 0.895
   195.0 0.911 0.912 0.927 0.895
   197.0 0.912 0.913 0.928 0.896
   199.0 0.912 0.913 0.928 0.897
   201.0 0.913 0.914 0.929 0.898
   203.0 0.913 0.915 0.929 0.899
   205.0 0.914 0.915 0.930 0.900
   207.0 0.915 0.916 0.930 0.901
   209.0 0.916 0.917 0.930 0.902
   211.0 0.916 0.918 0.931 0.903
   213.0 0.917 0.918 0.931 0.903
   215.0 0.917 0.918 0.932 0.904
   217.0 0.918 0.919 0.932 0.904
   219.0 0.918 0.920 0.933 0.905
   221.0 0.920 0.920 0.933 0.907
   223.0 0.921 0.921 0.933 0.909
   225.0 0.923 0.921 0.934 0.911
   227.0 0.926 0.922 0.935 0.913
   229.0 0.929 0.924 0.938 0.915
   231.0 0.933 0.926 0.942 0.917
   233.0 0.936 0.929 0.945 0.919
   235.0 0.939 0.931 0.948 0.922
   237.0 0.942 0.935 0.952 0.925
   239.0 0.945 0.938 0.954 0.929
   241.0 0.947 0.942 0.957 0.932
   243.0 0.950 0.944 0.959 0.934
   245.0 0.951 0.947 0.961 0.937
   247.0 0.953 0.950 0.963 0.940
   249.0 0.955 0.952 0.965 0.942
   251.0 0.957 0.954 0.967 0.944
   253.0 0.958 0.956 0.968 0.946
   255.0 0.959 0.958 0.970 0.948
   257.0 0.960 0.960 0.971 0.949
   259.0 0.961 0.961 0.971 0.951
