 3.93 3.87 !ice-ring at 3.897 Angstrom
 3.70 3.64 !ice-ring at 3.669 Angstrom
 3.47 3.41 !ice-ring at 3.441 Angstrom
 2.70 2.64 !ice-ring at 2.671 Angstrom
 2.28 2.22 !ice-ring at 2.249 Angstrom
